,order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,status
22428,428a2f660dc84138d969ccd69a0ab6d5,10de381f8a8d23fff822753305f71cae,delivered,2017-11-23 20:30:52,2017-11-24 10:31:10,2017-11-28 16:42:21,2017-12-13 20:19:35,2017-12-19,5,89b190a046022486c635022524a974a8,f326006815956455b2859abd58fe7e39,2017-11-30 10:30:51,65.49,16.22,moveis_decoracao,59.0,1744.0,2.0,700.0,62.0,15.0,15.0,furniture_decor,0f5ac8d5c31de21d2f25e24be15bbffb,84600,uniao da vitoria,PR,Repeater
22429,428a2f660dc84138d969ccd69a0ab6d5,10de381f8a8d23fff822753305f71cae,delivered,2017-11-23 20:30:52,2017-11-24 10:31:10,2017-11-28 16:42:21,2017-12-13 20:19:35,2017-12-19,6,89b190a046022486c635022524a974a8,f326006815956455b2859abd58fe7e39,2017-11-30 10:30:51,65.49,16.22,moveis_decoracao,59.0,1744.0,2.0,700.0,62.0,15.0,15.0,furniture_decor,0f5ac8d5c31de21d2f25e24be15bbffb,84600,uniao da vitoria,PR,Repeater
22430,428a2f660dc84138d969ccd69a0ab6d5,10de381f8a8d23fff822753305f71cae,delivered,2017-11-23 20:30:52,2017-11-24 10:31:10,2017-11-28 16:42:21,2017-12-13 20:19:35,2017-12-19,7,89b190a046022486c635022524a974a8,f326006815956455b2859abd58fe7e39,2017-11-30 10:30:51,65.49,16.22,moveis_decoracao,59.0,1744.0,2.0,700.0,62.0,15.0,15.0,furniture_decor,0f5ac8d5c31de21d2f25e24be15bbffb,84600,uniao da vitoria,PR,Repeater
22431,428a2f660dc84138d969ccd69a0ab6d5,10de381f8a8d23fff822753305f71cae,delivered,2017-11-23 20:30:52,2017-11-24 10:31:10,2017-11-28 16:42:21,2017-12-13 20:19:35,2017-12-19,8,89b190a046022486c635022524a974a8,f326006815956455b2859abd58fe7e39,2017-11-30 10:30:51,65.49,16.22,moveis_decoracao,59.0,1744.0,2.0,700.0,62.0,15.0,15.0,furniture_decor,0f5ac8d5c31de21d2f25e24be15bbffb,84600,uniao da vitoria,PR,Repeater
22432,428a2f660dc84138d969ccd69a0ab6d5,10de381f8a8d23fff822753305f71cae,delivered,2017-11-23 20:30:52,2017-11-24 10:31:10,2017-11-28 16:42:21,2017-12-13 20:19:35,2017-12-19,9,89b190a046022486c635022524a974a8,f326006815956455b2859abd58fe7e39,2017-11-30 10:30:51,65.49,16.22,moveis_decoracao,59.0,1744.0,2.0,700.0,62.0,15.0,15.0,furniture_decor,0f5ac8d5c31de21d2f25e24be15bbffb,84600,uniao da vitoria,PR,Repeater
22433,428a2f660dc84138d969ccd69a0ab6d5,10de381f8a8d23fff822753305f71cae,delivered,2017-11-23 20:30:52,2017-11-24 10:31:10,2017-11-28 16:42:21,2017-12-13 20:19:35,2017-12-19,10,89b190a046022486c635022524a974a8,f326006815956455b2859abd58fe7e39,2017-11-30 10:30:51,65.49,16.22,moveis_decoracao,59.0,1744.0,2.0,700.0,62.0,15.0,15.0,furniture_decor,0f5ac8d5c31de21d2f25e24be15bbffb,84600,uniao da vitoria,PR,Repeater
22434,428a2f660dc84138d969ccd69a0ab6d5,10de381f8a8d23fff822753305f71cae,delivered,2017-11-23 20:30:52,2017-11-24 10:31:10,2017-11-28 16:42:21,2017-12-13 20:19:35,2017-12-19,11,89b190a046022486c635022524a974a8,f326006815956455b2859abd58fe7e39,2017-11-30 10:30:51,65.49,16.22,moveis_decoracao,59.0,1744.0,2.0,700.0,62.0,15.0,15.0,furniture_decor,0f5ac8d5c31de21d2f25e24be15bbffb,84600,uniao da vitoria,PR,Repeater
22435,428a2f660dc84138d969ccd69a0ab6d5,10de381f8a8d23fff822753305f71cae,delivered,2017-11-23 20:30:52,2017-11-24 10:31:10,2017-11-28 16:42:21,2017-12-13 20:19:35,2017-12-19,12,89b190a046022486c635022524a974a8,f326006815956455b2859abd58fe7e39,2017-11-30 10:30:51,65.49,16.22,moveis_decoracao,59.0,1744.0,2.0,700.0,62.0,15.0,15.0,furniture_decor,0f5ac8d5c31de21d2f25e24be15bbffb,84600,uniao da vitoria,PR,Repeater
22436,428a2f660dc84138d969ccd69a0ab6d5,10de381f8a8d23fff822753305f71cae,delivered,2017-11-23 20:30:52,2017-11-24 10:31:10,2017-11-28 16:42:21,2017-12-13 20:19:35,2017-12-19,13,89b190a046022486c635022524a974a8,f326006815956455b2859abd58fe7e39,2017-11-30 10:30:51,65.49,16.22,moveis_decoracao,59.0,1744.0,2.0,700.0,62.0,15.0,15.0,furniture_decor,0f5ac8d5c31de21d2f25e24be15bbffb,84600,uniao da vitoria,PR,Repeater
22437,428a2f660dc84138d969ccd69a0ab6d5,10de381f8a8d23fff822753305f71cae,delivered,2017-11-23 20:30:52,2017-11-24 10:31:10,2017-11-28 16:42:21,2017-12-13 20:19:35,2017-12-19,14,89b190a046022486c635022524a974a8,f326006815956455b2859abd58fe7e39,2017-11-30 10:30:51,65.49,16.22,moveis_decoracao,59.0,1744.0,2.0,700.0,62.0,15.0,15.0,furniture_decor,0f5ac8d5c31de21d2f25e24be15bbffb,84600,uniao da vitoria,PR,Repeater
22438,428a2f660dc84138d969ccd69a0ab6d5,10de381f8a8d23fff822753305f71cae,delivered,2017-11-23 20:30:52,2017-11-24 10:31:10,2017-11-28 16:42:21,2017-12-13 20:19:35,2017-12-19,15,89b190a046022486c635022524a974a8,f326006815956455b2859abd58fe7e39,2017-11-30 10:30:51,65.49,16.22,moveis_decoracao,59.0,1744.0,2.0,700.0,62.0,15.0,15.0,furniture_decor,0f5ac8d5c31de21d2f25e24be15bbffb,84600,uniao da vitoria,PR,Repeater
22440,18cc6945eeb0fac797b1e48e96bb7ad7,14b49d162cc1a8333aec3853db1812f5,delivered,2018-01-15 15:38:06,2018-01-15 15:50:53,2018-01-30 12:44:48,2018-02-01 17:35:42,2018-02-16,1,0a9bdadab17a9b0f258f64d11a0adf7b,7c67e1448b00f6e969d365cea6b010ab,2018-01-29 15:50:53,79.98,18.27,moveis_decoracao,37.0,1090.0,1.0,7480.0,53.0,48.0,26.0,furniture_decor,21421ba1bd92005a3b48e6a745e9b8bb,7043,guarulhos,SP,Repeater
22441,18cc6945eeb0fac797b1e48e96bb7ad7,14b49d162cc1a8333aec3853db1812f5,delivered,2018-01-15 15:38:06,2018-01-15 15:50:53,2018-01-30 12:44:48,2018-02-01 17:35:42,2018-02-16,2,0a9bdadab17a9b0f258f64d11a0adf7b,7c67e1448b00f6e969d365cea6b010ab,2018-01-29 15:50:53,79.98,18.27,moveis_decoracao,37.0,1090.0,1.0,7480.0,53.0,48.0,26.0,furniture_decor,21421ba1bd92005a3b48e6a745e9b8bb,7043,guarulhos,SP,Repeater
22442,18cc6945eeb0fac797b1e48e96bb7ad7,14b49d162cc1a8333aec3853db1812f5,delivered,2018-01-15 15:38:06,2018-01-15 15:50:53,2018-01-30 12:44:48,2018-02-01 17:35:42,2018-02-16,3,0a9bdadab17a9b0f258f64d11a0adf7b,7c67e1448b00f6e969d365cea6b010ab,2018-01-29 15:50:53,79.98,18.27,moveis_decoracao,37.0,1090.0,1.0,7480.0,53.0,48.0,26.0,furniture_decor,21421ba1bd92005a3b48e6a745e9b8bb,7043,guarulhos,SP,Repeater
22464,e0c8e19935331054195ca859f10e056a,9e9e461189e83078ae06674afdd94eb5,delivered,2017-10-16 12:28:39,2017-10-16 12:46:10,2017-10-18 18:53:28,2017-10-24 18:38:39,2017-11-01,1,e0ce26ae52c9ab0b8c8e42129d6c1996,391fc6631aebcf3004804e51b40bcf1e,2017-10-20 12:46:10,24.9,6.61,moveis_decoracao,56.0,297.0,2.0,1050.0,100.0,5.0,11.0,furniture_decor,a518c60e2e7f3a2820b4ef5cf5107189,8040,sao paulo,SP,Repeater
22465,e0c8e19935331054195ca859f10e056a,9e9e461189e83078ae06674afdd94eb5,delivered,2017-10-16 12:28:39,2017-10-16 12:46:10,2017-10-18 18:53:28,2017-10-24 18:38:39,2017-11-01,2,a0736b92e52f6cead290e30b578413b6,391fc6631aebcf3004804e51b40bcf1e,2017-10-20 12:46:10,49.7,19.45,moveis_decoracao,56.0,296.0,2.0,1700.0,100.0,7.0,15.0,furniture_decor,a518c60e2e7f3a2820b4ef5cf5107189,8040,sao paulo,SP,Repeater
22471,99e2a62484480920071ceb4d04da5e17,1da9a73d0f1aeaac95cb8d7fa0e272f0,delivered,2018-04-16 02:06:28,2018-04-16 02:29:14,2018-04-18 19:05:12,2018-04-26 18:52:04,2018-05-24,1,e0ce26ae52c9ab0b8c8e42129d6c1996,391fc6631aebcf3004804e51b40bcf1e,2018-04-20 02:29:14,24.9,22.93,moveis_decoracao,56.0,297.0,2.0,1050.0,100.0,5.0,11.0,furniture_decor,e68e1b61896163cdd7f8e07b2ae814c9,20261,rio de janeiro,RJ,Repeater
22530,df47cbd869bf95a968334c26476c76d7,10e01081ecd4b1e6ba6aff5b9d81b715,delivered,2018-05-11 09:34:26,2018-05-11 09:48:30,2018-05-14 09:08:00,2018-05-17 15:11:43,2018-05-29,1,b532349fe46b38fbc7bb3914c1bdae07,1025f0e2d44d7041d6cf58b6550e0bfa,2018-05-17 09:48:30,35.0,12.24,moveis_decoracao,49.0,829.0,1.0,850.0,20.0,25.0,20.0,furniture_decor,37f2527bb624e379f72a742154fdb762,31155,belo horizonte,MG,Repeater
22554,a6b1ef6078eba08fce9fdc3263d690c1,8912c3b927be99f1f80b81354883114c,delivered,2017-10-21 14:31:35,2017-10-21 14:49:40,2017-10-24 18:58:50,2017-11-08 18:04:19,2017-11-14,1,b532349fe46b38fbc7bb3914c1bdae07,1025f0e2d44d7041d6cf58b6550e0bfa,2017-10-27 14:49:40,38.4,16.11,moveis_decoracao,49.0,829.0,1.0,850.0,20.0,25.0,20.0,furniture_decor,794307f7c4fd6c8325655fb3f7b89895,86803,apucarana,PR,Repeater
22601,513e088b2c0d0279b2df18d115a0d39d,4f3106b818772a80feb6aa2a658e2998,delivered,2018-05-28 15:37:54,2018-05-28 15:56:20,2018-05-30 13:36:00,2018-06-04 20:53:56,2018-06-28,1,b532349fe46b38fbc7bb3914c1bdae07,1025f0e2d44d7041d6cf58b6550e0bfa,2018-06-05 15:56:20,35.0,15.23,moveis_decoracao,49.0,829.0,1.0,850.0,20.0,25.0,20.0,furniture_decor,37f2527bb624e379f72a742154fdb762,31155,belo horizonte,MG,Repeater
22602,513e088b2c0d0279b2df18d115a0d39d,4f3106b818772a80feb6aa2a658e2998,delivered,2018-05-28 15:37:54,2018-05-28 15:56:20,2018-05-30 13:36:00,2018-06-04 20:53:56,2018-06-28,2,b532349fe46b38fbc7bb3914c1bdae07,1025f0e2d44d7041d6cf58b6550e0bfa,2018-06-05 15:56:20,35.0,15.23,moveis_decoracao,49.0,829.0,1.0,850.0,20.0,25.0,20.0,furniture_decor,37f2527bb624e379f72a742154fdb762,31155,belo horizonte,MG,Repeater
22664,c711d7f26c4563f427379e7ed3bfdc51,1adf1bdaabeefd1a481a848c62b455af,delivered,2018-03-17 11:07:24,2018-03-17 11:28:43,2018-03-24 15:57:30,2018-05-11 21:34:22,2018-04-18,1,466d5f5de92846a9674f3b34b3b922ad,cca3071e3e9bb7d12640c9fbe2301306,2018-03-30 11:28:43,89.9,23.21,moveis_decoracao,59.0,471.0,1.0,2100.0,30.0,5.0,20.0,furniture_decor,e4f218d824a59b96c4399ad182327138,27273,volta redonda,RJ,Repeater
22679,bda372c8f4f99cac883f9f8462f5fdfd,490f3d8fb78a8b5b1d9fd5ab8b4855d1,delivered,2018-01-15 20:19:56,2018-01-15 20:30:47,2018-01-19 21:03:28,2018-01-29 17:42:45,2018-02-07,1,a00d11a2119bd70d658fc7cdcf1f59d3,79ebd9a61bac3eaf882805ed4ecfa12a,2018-01-19 20:30:47,99.9,16.46,moveis_decoracao,44.0,1460.0,9.0,650.0,35.0,2.0,25.0,furniture_decor,1372bab98f9966bcd4a6fa3e6df6dde8,1533,sao paulo,SP,Repeater
22693,4d178c8435a1d6d81ded1bfde1083628,053b2e588e54bdf1d4892e8e96fd6f94,delivered,2017-05-13 22:51:29,2017-05-13 23:08:52,2017-05-17 09:55:27,2017-05-26 08:46:57,2017-06-08,1,21fb5057dd6a737df6851a7ab7a130da,b14db04aa7881970e83ffa9426897925,2017-05-17 23:08:52,55.0,32.84,moveis_decoracao,52.0,709.0,2.0,7550.0,35.0,35.0,35.0,furniture_decor,d75a854dd5534f42bfac3299ac2d0b33,77940,sitio novo do tocantins,TO,Repeater
22694,4d178c8435a1d6d81ded1bfde1083628,053b2e588e54bdf1d4892e8e96fd6f94,delivered,2017-05-13 22:51:29,2017-05-13 23:08:52,2017-05-17 09:55:27,2017-05-26 08:46:57,2017-06-08,2,21fb5057dd6a737df6851a7ab7a130da,b14db04aa7881970e83ffa9426897925,2017-05-17 23:08:52,55.0,32.84,moveis_decoracao,52.0,709.0,2.0,7550.0,35.0,35.0,35.0,furniture_decor,d75a854dd5534f42bfac3299ac2d0b33,77940,sitio novo do tocantins,TO,Repeater
22695,4d178c8435a1d6d81ded1bfde1083628,053b2e588e54bdf1d4892e8e96fd6f94,delivered,2017-05-13 22:51:29,2017-05-13 23:08:52,2017-05-17 09:55:27,2017-05-26 08:46:57,2017-06-08,3,21fb5057dd6a737df6851a7ab7a130da,b14db04aa7881970e83ffa9426897925,2017-05-17 23:08:52,55.0,32.84,moveis_decoracao,52.0,709.0,2.0,7550.0,35.0,35.0,35.0,furniture_decor,d75a854dd5534f42bfac3299ac2d0b33,77940,sitio novo do tocantins,TO,Repeater
22700,9cf5e2afa7553fb777a59471a72cd2bc,11d25c17e5a4fc7c1fa5d93fd8864e69,delivered,2018-03-11 23:21:06,2018-03-13 04:10:51,2018-03-15 22:32:46,2018-03-31 17:36:48,2018-04-06,1,21fb5057dd6a737df6851a7ab7a130da,b14db04aa7881970e83ffa9426897925,2018-03-19 04:10:51,69.0,26.56,moveis_decoracao,52.0,709.0,2.0,7550.0,35.0,35.0,35.0,furniture_decor,acc374bd9024806a83121b1d2565db2f,96214,rio grande,RS,Repeater
22709,a7adf8d0ab081caab51b96af34523e00,4b7a8bde4d6788812ce5e49666666f25,delivered,2017-08-15 17:05:06,2017-08-16 18:10:15,2017-08-18 21:49:55,2017-08-28 20:21:47,2017-09-06,1,21fb5057dd6a737df6851a7ab7a130da,b14db04aa7881970e83ffa9426897925,2017-08-22 18:10:15,69.0,20.97,moveis_decoracao,52.0,709.0,2.0,7550.0,35.0,35.0,35.0,furniture_decor,9e527c9bc89a4228e5d8e136712ec63e,88034,florianopolis,SC,Repeater
22721,577285c10c95871f906ac5ba6d9d902b,e9c9c155a55ad03af57867143ee91937,delivered,2018-06-01 15:08:12,2018-06-02 15:10:04,2018-06-11 14:38:00,2018-06-21 12:24:46,2018-07-23,1,d011223de539cd224b5c5c8082313d46,1025f0e2d44d7041d6cf58b6550e0bfa,2018-06-11 15:10:04,196.8,22.46,moveis_decoracao,50.0,676.0,2.0,2125.0,28.0,27.0,33.0,furniture_decor,5ad84888519e10ff52d8af00641d41bc,20551,rio de janeiro,RJ,Repeater
22735,0f2f7e210f5079ed1f797cb4aed6dfbc,93d186739ba905a3489bf2f239a97167,delivered,2018-05-02 15:40:15,2018-05-02 16:19:50,2018-05-07 09:22:00,2018-05-11 12:33:07,2018-05-29,1,d011223de539cd224b5c5c8082313d46,1025f0e2d44d7041d6cf58b6550e0bfa,2018-05-08 16:19:50,196.8,15.72,moveis_decoracao,50.0,676.0,2.0,2125.0,28.0,27.0,33.0,furniture_decor,dcd27efb93b723b301f8bac00e5d7e01,91370,porto alegre,RS,Repeater
22738,6f118f6a730ce35b230974f295f743f9,bd5519f537ebad36bee36923313d8198,delivered,2018-01-20 17:53:36,2018-01-22 13:55:25,2018-01-26 18:34:27,2018-02-07 22:08:23,2018-02-14,1,002959d7a0b0990fe2d69988affcbc80,79ebd9a61bac3eaf882805ed4ecfa12a,2018-01-26 13:55:25,129.9,98.02,moveis_decoracao,54.0,1750.0,3.0,2600.0,105.0,3.0,70.0,furniture_decor,2aba7239448982a76a0a79666419e3a3,21341,rio de janeiro,RJ,Repeater
22742,3ea82ad47a5a11ed6d1cb5e1e8343b9a,5fc7418ce4819fe3478f17feed6e5c71,delivered,2017-12-31 12:43:46,2017-12-31 12:50:24,2018-01-02 18:07:10,2018-01-24 12:14:39,2018-02-05,1,08528915e9c75fe961048c13928b527f,e63e8bfa530fb16910dd6956e592bb81,2018-01-05 12:50:24,29.9,21.15,moveis_decoracao,39.0,211.0,3.0,500.0,40.0,11.0,35.0,furniture_decor,c9ec7638cb8f2dd8e4439fa8374d89e4,94510,viamao,RS,Repeater
22744,de90c6becfae7b59fc7f1642e8578a17,fd0f799263c58a9fd3c65d72963046aa,delivered,2018-04-15 17:58:53,2018-04-15 18:10:55,2018-04-17 19:42:27,2018-04-18 19:47:36,2018-05-03,1,8b5632d7a4f86bd2f1331355305427e6,624f4ece8da4aafb77699233d480f8ef,2018-04-19 18:10:55,159.0,16.02,moveis_decoracao,37.0,273.0,1.0,2850.0,50.0,50.0,16.0,furniture_decor,8f2fa110f45a5b5592f1593842b7e87d,6700,cotia,SP,Repeater
22746,48445cae859ffeb0add84d872ed74192,1cfe83f86072c0597cde0a10aaaf7bab,delivered,2018-05-10 23:40:44,2018-05-10 23:55:13,2018-05-11 15:05:00,2018-05-14 19:29:28,2018-05-28,1,8b5632d7a4f86bd2f1331355305427e6,624f4ece8da4aafb77699233d480f8ef,2018-05-16 23:55:13,159.0,16.02,moveis_decoracao,37.0,273.0,1.0,2850.0,50.0,50.0,16.0,furniture_decor,d4a5e9f19897de65433c9d97bf4b9f8e,4195,sao paulo,SP,Repeater
22783,91750e4d3d89e619cd557a6da400be06,a509c0faf10ecf2d74c38e3945b25496,delivered,2017-01-17 14:23:56,2017-01-17 14:30:17,2017-01-20 07:13:45,2017-01-30 12:58:03,2017-03-02,1,d4a8ab90e626911fa92af68c07228390,cca3071e3e9bb7d12640c9fbe2301306,2017-01-27 14:23:56,45.9,15.56,moveis_decoracao,59.0,438.0,1.0,1000.0,30.0,4.0,20.0,furniture_decor,1d2435aa3b858d45c707c9fc25e18779,21760,rio de janeiro,RJ,Repeater
22816,64870069a2ef2e45dfbd920310639dcd,b3b4c2d3aa425f6db2248f6360096213,delivered,2017-05-07 17:31:09,2017-05-07 17:42:03,2017-05-09 14:10:28,2017-05-10 17:07:59,2017-05-29,1,65b89f415ce968a584fde133ae3ce3bf,0c8380b62e38e8a1e6adbeba7eb9688c,2017-05-11 17:42:03,74.9,14.25,moveis_decoracao,63.0,653.0,2.0,1600.0,38.0,7.0,28.0,furniture_decor,e30b83af13d6ff0b0f427b2a67c43b39,37704,pocos de caldas,MG,Repeater
22822,17784b9fbb37fb0bdc230d8ed6f6b355,023cf83ac35d703a6f3c1b31bcf844d5,delivered,2018-03-08 19:06:08,2018-03-09 19:08:21,2018-03-12 23:27:21,2018-03-23 15:08:41,2018-04-04,1,acc444eb5ad26f79d5a11baa6a03c439,1025f0e2d44d7041d6cf58b6550e0bfa,2018-03-15 19:08:21,140.0,83.83,moveis_decoracao,53.0,626.0,1.0,9400.0,35.0,45.0,45.0,furniture_decor,5a494c648fde2d1ec4eb614274ea7159,44900,irece,BA,Repeater
22823,17784b9fbb37fb0bdc230d8ed6f6b355,023cf83ac35d703a6f3c1b31bcf844d5,delivered,2018-03-08 19:06:08,2018-03-09 19:08:21,2018-03-12 23:27:21,2018-03-23 15:08:41,2018-04-04,2,acc444eb5ad26f79d5a11baa6a03c439,1025f0e2d44d7041d6cf58b6550e0bfa,2018-03-15 19:08:21,140.0,83.83,moveis_decoracao,53.0,626.0,1.0,9400.0,35.0,45.0,45.0,furniture_decor,5a494c648fde2d1ec4eb614274ea7159,44900,irece,BA,Repeater
22824,17784b9fbb37fb0bdc230d8ed6f6b355,023cf83ac35d703a6f3c1b31bcf844d5,delivered,2018-03-08 19:06:08,2018-03-09 19:08:21,2018-03-12 23:27:21,2018-03-23 15:08:41,2018-04-04,3,acc444eb5ad26f79d5a11baa6a03c439,1025f0e2d44d7041d6cf58b6550e0bfa,2018-03-15 19:08:21,140.0,83.83,moveis_decoracao,53.0,626.0,1.0,9400.0,35.0,45.0,45.0,furniture_decor,5a494c648fde2d1ec4eb614274ea7159,44900,irece,BA,Repeater
22825,17784b9fbb37fb0bdc230d8ed6f6b355,023cf83ac35d703a6f3c1b31bcf844d5,delivered,2018-03-08 19:06:08,2018-03-09 19:08:21,2018-03-12 23:27:21,2018-03-23 15:08:41,2018-04-04,4,acc444eb5ad26f79d5a11baa6a03c439,1025f0e2d44d7041d6cf58b6550e0bfa,2018-03-15 19:08:21,140.0,83.83,moveis_decoracao,53.0,626.0,1.0,9400.0,35.0,45.0,45.0,furniture_decor,5a494c648fde2d1ec4eb614274ea7159,44900,irece,BA,Repeater
22826,17784b9fbb37fb0bdc230d8ed6f6b355,023cf83ac35d703a6f3c1b31bcf844d5,delivered,2018-03-08 19:06:08,2018-03-09 19:08:21,2018-03-12 23:27:21,2018-03-23 15:08:41,2018-04-04,5,acc444eb5ad26f79d5a11baa6a03c439,1025f0e2d44d7041d6cf58b6550e0bfa,2018-03-15 19:08:21,140.0,83.83,moveis_decoracao,53.0,626.0,1.0,9400.0,35.0,45.0,45.0,furniture_decor,5a494c648fde2d1ec4eb614274ea7159,44900,irece,BA,Repeater
22827,17784b9fbb37fb0bdc230d8ed6f6b355,023cf83ac35d703a6f3c1b31bcf844d5,delivered,2018-03-08 19:06:08,2018-03-09 19:08:21,2018-03-12 23:27:21,2018-03-23 15:08:41,2018-04-04,6,acc444eb5ad26f79d5a11baa6a03c439,1025f0e2d44d7041d6cf58b6550e0bfa,2018-03-15 19:08:21,140.0,83.83,moveis_decoracao,53.0,626.0,1.0,9400.0,35.0,45.0,45.0,furniture_decor,5a494c648fde2d1ec4eb614274ea7159,44900,irece,BA,Repeater
22831,89ddf23f8fe73ace16b54d219a527277,87357fa1cd76f1b9e26ef7a92d2f0e84,delivered,2018-01-24 19:08:37,2018-01-24 19:19:27,2018-01-30 15:48:39,2018-03-06 23:41:57,2018-03-05,1,acc444eb5ad26f79d5a11baa6a03c439,1025f0e2d44d7041d6cf58b6550e0bfa,2018-01-30 19:19:27,120.0,70.06,moveis_decoracao,53.0,626.0,1.0,9400.0,35.0,45.0,45.0,furniture_decor,b1449986ee6516d3797d782b01c36e80,68515,parauapebas,PA,Repeater
22832,89ddf23f8fe73ace16b54d219a527277,87357fa1cd76f1b9e26ef7a92d2f0e84,delivered,2018-01-24 19:08:37,2018-01-24 19:19:27,2018-01-30 15:48:39,2018-03-06 23:41:57,2018-03-05,2,acc444eb5ad26f79d5a11baa6a03c439,1025f0e2d44d7041d6cf58b6550e0bfa,2018-01-30 19:19:27,120.0,70.06,moveis_decoracao,53.0,626.0,1.0,9400.0,35.0,45.0,45.0,furniture_decor,b1449986ee6516d3797d782b01c36e80,68515,parauapebas,PA,Repeater
22837,e65fa5f31ce4436d38bcf5e109fd43e4,d9110683c7a282144e9fc97660026a28,delivered,2018-01-24 17:53:44,2018-01-24 18:12:41,2018-01-30 15:13:39,2018-02-20 17:48:37,2018-02-19,1,acc444eb5ad26f79d5a11baa6a03c439,1025f0e2d44d7041d6cf58b6550e0bfa,2018-01-30 18:12:41,120.0,39.77,moveis_decoracao,53.0,626.0,1.0,9400.0,35.0,45.0,45.0,furniture_decor,5cbfdb85ec130898108b32c50d619c39,74980,aparecida de goiania,GO,Repeater
22880,5f082c0821ef7e1812362878c7268aef,31dbc13addc753e210692eacaea065e4,delivered,2017-11-18 00:58:41,2017-11-18 01:15:33,2017-11-27 15:42:37,2017-12-29 01:48:17,2017-12-28,1,caf540627b7914ab734c86495fdc95ee,1025f0e2d44d7041d6cf58b6550e0bfa,2017-11-24 01:15:33,250.0,93.08,moveis_decoracao,54.0,769.0,1.0,13300.0,45.0,35.0,45.0,furniture_decor,5dbba6c01268a8ad43f79157bf4454a0,69900,rio branco,AC,Repeater
22889,2b62c1f2514954fe162667774af50ba0,c32f268299ec4b883be4ec249446f0e5,delivered,2018-06-27 15:45:49,2018-06-27 16:13:13,2018-06-28 14:12:00,2018-07-03 18:56:50,2018-07-26,1,e819fddd6622f30e872bfc89471c1408,7139dc5186aa238b006e066d8fbab2e4,2018-07-03 16:13:13,39.0,19.46,moveis_decoracao,60.0,772.0,1.0,650.0,16.0,15.0,13.0,furniture_decor,816092f5825c3e2cdfdd4af546d4d04c,87043,maringa,PR,Repeater
22890,2b62c1f2514954fe162667774af50ba0,c32f268299ec4b883be4ec249446f0e5,delivered,2018-06-27 15:45:49,2018-06-27 16:13:13,2018-06-28 14:12:00,2018-07-03 18:56:50,2018-07-26,2,e819fddd6622f30e872bfc89471c1408,7139dc5186aa238b006e066d8fbab2e4,2018-07-03 16:13:13,39.0,19.46,moveis_decoracao,60.0,772.0,1.0,650.0,16.0,15.0,13.0,furniture_decor,816092f5825c3e2cdfdd4af546d4d04c,87043,maringa,PR,Repeater
22905,86da41fac2d3f448976995f9b78c335f,fa4e2d7ab39f97bb7b7b0f59200391d2,delivered,2017-02-16 14:56:07,2017-02-16 15:05:14,2017-02-17 14:22:11,2017-02-24 14:14:09,2017-03-17,1,0cf13ac73dbcf6586ba63b89dd1f780a,b14db04aa7881970e83ffa9426897925,2017-02-20 13:56:07,47.0,15.56,moveis_decoracao,39.0,398.0,5.0,3700.0,25.0,35.0,35.0,furniture_decor,dc450fdb03562a6d52752858f7855348,31540,belo horizonte,MG,Repeater
22938,f2cb3992c58b20c12ab229c53eba0df9,7b26d67196d749959cb7aee13b4f4de1,delivered,2018-03-15 10:52:58,2018-03-16 03:25:14,2018-03-19 20:04:06,2018-03-24 02:32:19,2018-04-03,1,f74fab8ad32a03b930bf63097821b9c7,1336efc61c316ddf92c899eb817f7cae,2018-03-22 03:25:14,42.0,12.79,moveis_decoracao,44.0,83.0,1.0,350.0,20.0,16.0,20.0,furniture_decor,9fa0a504d42412f2bc9878d90541121d,7845,franco da rocha,SP,Repeater
22958,1397417a57ad1bbfe8d639df8cdee908,fc9fdbf5a26b1399e70bb3666cf7f9e6,delivered,2018-07-02 18:16:59,2018-07-02 18:31:03,2018-07-03 15:06:00,2018-07-09 22:32:16,2018-08-09,1,01cf7c4cffff8db0a1cbe612bd2d50a4,f7720c4fa8e3aba4546301ab80ea1f1b,2018-07-05 18:31:03,17.75,35.09,moveis_decoracao,53.0,371.0,1.0,800.0,40.0,5.0,11.0,furniture_decor,5d323409404dee6bdb0f6cf9ef828dae,22763,rio de janeiro,RJ,Repeater
22959,1397417a57ad1bbfe8d639df8cdee908,fc9fdbf5a26b1399e70bb3666cf7f9e6,delivered,2018-07-02 18:16:59,2018-07-02 18:31:03,2018-07-03 15:06:00,2018-07-09 22:32:16,2018-08-09,2,53b36df67ebb7c41585e8d54d6772e08,7d13fca15225358621be4086e1eb0964,2018-07-06 18:31:03,119.0,2.11,relogios_presentes,33.0,523.0,3.0,584.0,16.0,11.0,13.0,watches_gifts,5d323409404dee6bdb0f6cf9ef828dae,22763,rio de janeiro,RJ,Repeater
